book_id,title,death_year,extent_bytes,category,matched_keywords
10001,Apocolocyntosis,65,51028,other,
10006,La Fiammetta,1375,94393,other,
1001,"Divine Comedy, Longfellow's Translation, Hell",1321,249181,other,
1002,"Divine Comedy, Longfellow's Translation, Purgatory",1321,249125,other,
1003,"Divine Comedy, Longfellow's Translation, Paradise",1321,249889,other,
1004,"Divine Comedy, Longfellow's Translation, Complete",1321,709097,other,
1005,"Divine Comedy, Cary's Translation, Hell",1321,234536,other,
10056,"Chinese literature : $b Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han",-479,531219,other,
1006,"Divine Comedy, Cary's Translation, Purgatory",1321,234785,other,
1007,"Divine Comedy, Cary's Translation, Paradise",1321,227980,other,
1008,"Divine Comedy, Cary's Translation, Complete",1321,912624,other,
10096,The Trojan women of Euripides,-406,128659,other,
10315,"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1",1122,883863,other,
10430,Trips to the Moon,180,230877,astro,moon
10523,Alcestis,-406,124581,other,
10636,The Travels of Marco Polo — Volume 1,1324,2345917,other,
10657,"""De Bello Gallico"" and Other Commentaries",-43,964595,other,
10661,A Selection from the Discourses of Epictetus with the Encheiridion,135,351932,other,
10672,"Game and Playe of the Chesse
A Verbatim Reprint of the First Edition, 1474",1491,379148,other,
10717,"The Extant Odes of Pindar
Translated with Introduction and Short Notes by Ernest Myers",-446,321034,other,
10827,Discourses on the First Decade of Titus Livius,1527,834454,other,
10828,"Roman History, Books I-III",16,667243,other,
10907,"The History of Rome, Books 09 to 26",16,1305920,other,
11080,"The Orations of Marcus Tullius Cicero, Volume 4",-43,1284333,other,
11533,"Theocritus, translated into English Verse",-260,198842,other,
1169,Agesilaus,-355,102023,other,
1170,Anabasis,-355,558622,other,
1171,The Apology,-355,48059,other,
1172,The Cavalry General,-355,100084,other,
1173,The Economist,-355,235867,other,
1174,Hellenica,-355,759596,other,
1175,Hiero,-355,110511,other,
1176,On Horsemanship,-355,98609,other,
1177,The Memorabilia,-355,420971,other,
1178,The Polity of the Athenians and the Lacedaemonians,-355,136190,other,
1179,On Revenues,-355,75865,other,
1180,"The Sportsman: On Hunting, a Sportsman's Manual, Commonly Called Cynegeticus",-355,155822,other,
1181,The Symposium,-355,152263,other,
12140,Roman Farm Management: The Treatises of Cato and Varro,-149,564239,other,
1232,The Prince,1527,308064,other,
12370,"Bagh O Bahar, or Tales of the Four Darweshes",1325,568191,other,
12410,The Travels of Marco Polo — Volume 2,1324,2421300,other,
12425,"De Orbe Novo, Volume 1 (of 2)
The Eight Decades of Peter Martyr D'Anghera",1526,793485,astro,orb
1251,Le Morte d'Arthur: Volume 1,1471,917658,other,
1252,Le Morte d'Arthur: Volume 2,1471,1047345,other,
12582,"The History of Rome, Books 27 to 36",16,1402081,other,
12753,The Legends of King Arthur and His Knights,1471,529562,other,
12867,The Banquet (Il Convito),1321,486966,other,
13086,The Diwan of Abu'l-Ala,1057,81659,other,
13102,"The Decameron, Volume II",1375,918314,other,
13316,The Theological Tractates and The Consolation of Philosophy,524,665814,other,
13725,Stories from the Odyssey,-650,398698,other,
13726,"Apology, Crito, and Phaedo of Socrates",-348,310715,other,
13885,Echoes from the Sabine Farm,-8,94184,other,
14020,The Works of Horace,-8,485337,other,
14031,"The Colloquies of Erasmus, Volume I.",1536,869759,other,
14033,"Plutarch's Lives, Volume 1 (of 4)",119,1084108,other,
14114,"Plutarch's Lives, Volume 2 (of 4)",119,1160894,other,
14140,"Plutarch's Lives, Volume 3 (of 4)",119,1379635,other,
14268,Historia Calamitatum,1142,184517,other,
14282,A Merry Dialogue Declaringe the Properties of Shrowde Shrews and Honest Wives,1536,92058,other,
14322,"The Electra of Euripides
Translated into English rhyming verse",-406,136789,other,
14328,The Consolation of Philosophy,524,275715,other,
14417,"The Agamemnon of Aeschylus
Translated into English Rhyming Verse with Explanatory Notes",-456,144606,other,
14484,The Seven Plays in English Verse,-406,567051,other,
