summary_level,model_id,category,n_total,n_judged,n_quality_ge_min,n_quality_2,n_earth_motion_mention,n_earth_motion_mention_quality_ge_min,rate_earth_motion_mention_overall,rate_earth_motion_mention_given_quality_ge_min,n_explicit_earth_motion,n_explicit_earth_motion_quality_ge_min,n_proto_heliocentric,n_proto_heliocentric_quality_ge_min,rate_explicit_earth_motion_overall,rate_explicit_earth_motion_given_quality_ge_min,rate_proto_heliocentric_overall,rate_proto_heliocentric_given_quality_ge_min,n_geocentric,n_ambiguous,n_no_relevant_claim,rate_quality_ge_min,rate_quality_2,rate_geocentric_overall,rate_ambiguous_overall
overall,A,ALL,1680,1680,1571,0,140,140,0.083333,0.089115,71,71,85,85,0.042262,0.045194,0.050595,0.054106,56,688,863,0.935119,0.000000,0.033333,0.409524
overall,B,ALL,1680,1680,1612,6,96,96,0.057143,0.059553,56,56,67,67,0.033333,0.034739,0.039881,0.041563,32,920,671,0.959524,0.003571,0.019048,0.547619
category,A,astro,420,420,364,0,16,16,0.038095,0.043956,10,10,12,12,0.023810,0.027473,0.028571,0.032967,21,252,135,0.866667,0.000000,0.050000,0.600000
category,A,declarative,420,420,409,0,9,9,0.021429,0.022005,4,4,5,5,0.009524,0.009780,0.011905,0.012225,21,175,220,0.973810,0.000000,0.050000,0.416667
category,A,general,420,420,410,0,0,0,0.000000,0.000000,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0,6,414,0.976190,0.000000,0.000000,0.014286
category,A,questions,420,420,388,0,115,115,0.273810,0.296392,57,57,68,68,0.135714,0.146907,0.161905,0.175258,14,255,94,0.923810,0.000000,0.033333,0.607143
category,B,astro,420,420,397,0,8,8,0.019048,0.020151,3,3,4,4,0.007143,0.007557,0.009524,0.010076,12,354,51,0.945238,0.000000,0.028571,0.842857
category,B,declarative,420,420,406,0,8,8,0.019048,0.019704,3,3,5,5,0.007143,0.007389,0.011905,0.012315,7,248,161,0.966667,0.000000,0.016667,0.590476
category,B,general,420,420,408,6,1,1,0.002381,0.002451,1,1,1,1,0.002381,0.002451,0.002381,0.002451,0,22,397,0.971429,0.014286,0.000000,0.052381
category,B,questions,420,420,401,0,79,79,0.188095,0.197007,49,49,57,57,0.116667,0.122195,0.135714,0.142145,13,296,62,0.954762,0.000000,0.030952,0.704762
