summary_level,model_id,category,n_total,n_judged,n_quality_ge_min,n_quality_2,n_heliocentric,n_heliocentric_quality_ge_min,n_geocentric,n_ambiguous,n_no_relevant_claim,rate_heliocentric_overall,rate_heliocentric_given_quality_ge_min,rate_quality_ge_min,rate_quality_2,rate_geocentric_overall,rate_ambiguous_overall
overall,A,ALL,1680,1680,1288,27,144,143,299,664,594,0.085714,0.111025,0.766667,0.016071,0.177976,0.395238
overall,B,ALL,1680,1680,1377,60,184,184,358,643,506,0.109524,0.133624,0.819643,0.035714,0.213095,0.382738
category,A,astro,420,420,349,4,33,33,119,200,71,0.078571,0.094556,0.830952,0.009524,0.283333,0.476190
category,A,declarative,420,420,362,13,17,17,89,191,123,0.040476,0.046961,0.861905,0.030952,0.211905,0.454762
category,A,general,420,420,205,4,0,0,5,41,374,0.000000,0.000000,0.488095,0.009524,0.011905,0.097619
category,A,questions,420,420,372,6,94,93,86,232,26,0.223810,0.250000,0.885714,0.014286,0.204762,0.552381
category,B,astro,420,420,391,20,57,57,162,172,30,0.135714,0.145780,0.930952,0.047619,0.385714,0.409524
category,B,declarative,420,420,374,22,20,20,84,213,102,0.047619,0.053476,0.890476,0.052381,0.200000,0.507143
category,B,general,420,420,222,5,6,6,5,54,356,0.014286,0.027027,0.528571,0.011905,0.011905,0.128571
category,B,questions,420,420,390,13,101,101,107,204,18,0.240476,0.258974,0.928571,0.030952,0.254762,0.485714
