summary_level,model_id,category,n_total,n_judged,n_quality_ge_min,n_quality_2,n_explicit_earth_motion,n_explicit_earth_motion_quality_ge_min,n_proto_heliocentric,n_proto_heliocentric_quality_ge_min,n_geocentric,n_ambiguous,n_no_relevant_claim,rate_explicit_earth_motion_overall,rate_explicit_earth_motion_given_quality_ge_min,rate_proto_heliocentric_overall,rate_proto_heliocentric_given_quality_ge_min,rate_quality_ge_min,rate_quality_2,rate_geocentric_overall,rate_ambiguous_overall
overall,A,ALL,1680,1680,1650,69,78,78,110,110,179,864,536,0.046429,0.047273,0.065476,0.066667,0.982143,0.041071,0.106548,0.514286
overall,B,ALL,1680,1680,1658,107,65,65,94,94,117,1002,472,0.038690,0.039204,0.055952,0.056695,0.986905,0.063690,0.069643,0.596429
category,A,astro,420,420,407,14,13,13,17,17,65,312,26,0.030952,0.031941,0.040476,0.041769,0.969048,0.033333,0.154762,0.742857
category,A,declarative,420,420,413,18,6,6,7,7,61,226,126,0.014286,0.014528,0.016667,0.016949,0.983333,0.042857,0.145238,0.538095
category,A,general,420,420,414,26,0,0,0,0,2,42,376,0.000000,0.000000,0.000000,0.000000,0.985714,0.061905,0.004762,0.100000
category,A,questions,420,420,416,11,59,59,86,86,51,284,8,0.140476,0.141827,0.204762,0.206731,0.990476,0.026190,0.121429,0.676190
category,B,astro,420,420,416,19,7,7,9,9,35,367,9,0.016667,0.016827,0.021429,0.021635,0.990476,0.045238,0.083333,0.873810
category,B,declarative,420,420,416,29,5,5,6,6,35,277,102,0.011905,0.012019,0.014286,0.014423,0.990476,0.069048,0.083333,0.659524
category,B,general,420,420,408,47,0,0,0,0,2,59,359,0.000000,0.000000,0.000000,0.000000,0.971429,0.111905,0.004762,0.140476
category,B,questions,420,420,418,12,53,53,79,79,45,299,2,0.126190,0.126794,0.188095,0.188995,0.995238,0.028571,0.107143,0.711905
