summary_level,model_id,category,n_total,n_judged,n_quality_ge_min,n_quality_2,n_explicit_earth_motion,n_explicit_earth_motion_quality_ge_min,n_proto_heliocentric,n_proto_heliocentric_quality_ge_min,n_geocentric,n_ambiguous,n_no_relevant_claim,rate_explicit_earth_motion_overall,rate_explicit_earth_motion_given_quality_ge_min,rate_proto_heliocentric_overall,rate_proto_heliocentric_given_quality_ge_min,rate_quality_ge_min,rate_quality_2,rate_geocentric_overall,rate_ambiguous_overall
overall,A,ALL,1680,1680,69,69,78,6,110,9,179,864,536,0.046429,0.086957,0.065476,0.130435,0.041071,0.041071,0.106548,0.514286
overall,B,ALL,1680,1680,107,107,65,8,94,8,117,1002,472,0.038690,0.074766,0.055952,0.074766,0.063690,0.063690,0.069643,0.596429
category,A,astro,420,420,14,14,13,3,17,5,65,312,26,0.030952,0.214286,0.040476,0.357143,0.033333,0.033333,0.154762,0.742857
category,A,declarative,420,420,18,18,6,3,7,3,61,226,126,0.014286,0.166667,0.016667,0.166667,0.042857,0.042857,0.145238,0.538095
category,A,general,420,420,26,26,0,0,0,0,2,42,376,0.000000,0.000000,0.000000,0.000000,0.061905,0.061905,0.004762,0.100000
category,A,questions,420,420,11,11,59,0,86,1,51,284,8,0.140476,0.000000,0.204762,0.090909,0.026190,0.026190,0.121429,0.676190
category,B,astro,420,420,19,19,7,1,9,1,35,367,9,0.016667,0.052632,0.021429,0.052632,0.045238,0.045238,0.083333,0.873810
category,B,declarative,420,420,29,29,5,2,6,2,35,277,102,0.011905,0.068966,0.014286,0.068966,0.069048,0.069048,0.083333,0.659524
category,B,general,420,420,47,47,0,0,0,0,2,59,359,0.000000,0.000000,0.000000,0.000000,0.111905,0.111905,0.004762,0.140476
category,B,questions,420,420,12,12,53,5,79,5,45,299,2,0.126190,0.416667,0.188095,0.416667,0.028571,0.028571,0.107143,0.711905
