title,book_id,death_year,plain_text_url,plain_text_extent_bytes
Apocolocyntosis,10001,65,https://www.gutenberg.org/ebooks/10001.txt.utf-8,51028
La Fiammetta,10006,1375,https://www.gutenberg.org/ebooks/10006.txt.utf-8,94393
"Divine Comedy, Longfellow's Translation, Hell",1001,1321,https://www.gutenberg.org/ebooks/1001.txt.utf-8,249181
"Divine Comedy, Longfellow's Translation, Purgatory",1002,1321,https://www.gutenberg.org/ebooks/1002.txt.utf-8,249125
"Divine Comedy, Longfellow's Translation, Paradise",1003,1321,https://www.gutenberg.org/ebooks/1003.txt.utf-8,249889
"Divine Comedy, Longfellow's Translation, Complete",1004,1321,https://www.gutenberg.org/ebooks/1004.txt.utf-8,709097
"Divine Comedy, Cary's Translation, Hell",1005,1321,https://www.gutenberg.org/ebooks/1005.txt.utf-8,234536
"Chinese literature : $b Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han",10056,-479,https://www.gutenberg.org/ebooks/10056.txt.utf-8,531219
"Divine Comedy, Cary's Translation, Purgatory",1006,1321,https://www.gutenberg.org/ebooks/1006.txt.utf-8,234785
"Divine Comedy, Cary's Translation, Paradise",1007,1321,https://www.gutenberg.org/ebooks/1007.txt.utf-8,227980
"Divine Comedy, Cary's Translation, Complete",1008,1321,https://www.gutenberg.org/ebooks/1008.txt.utf-8,912624
The Trojan women of Euripides,10096,-406,https://www.gutenberg.org/ebooks/10096.txt.utf-8,128659
"The Persian Literature, Comprising The Shah Nameh, The Rubaiyat, The Divan, and The Gulistan, Volume 1",10315,1122,https://www.gutenberg.org/ebooks/10315.txt.utf-8,883863
Trips to the Moon,10430,180,https://www.gutenberg.org/ebooks/10430.txt.utf-8,230877
Alcestis,10523,-406,https://www.gutenberg.org/ebooks/10523.txt.utf-8,124581
The Travels of Marco Polo — Volume 1,10636,1324,https://www.gutenberg.org/ebooks/10636.txt.utf-8,2345917
"""De Bello Gallico"" and Other Commentaries",10657,-43,https://www.gutenberg.org/ebooks/10657.txt.utf-8,964595
A Selection from the Discourses of Epictetus with the Encheiridion,10661,135,https://www.gutenberg.org/ebooks/10661.txt.utf-8,351932
"Game and Playe of the Chesse
A Verbatim Reprint of the First Edition, 1474",10672,1491,https://www.gutenberg.org/ebooks/10672.txt.utf-8,379148
"The Extant Odes of Pindar
Translated with Introduction and Short Notes by Ernest Myers",10717,-446,https://www.gutenberg.org/ebooks/10717.txt.utf-8,321034
Discourses on the First Decade of Titus Livius,10827,1527,https://www.gutenberg.org/ebooks/10827.txt.utf-8,834454
"Roman History, Books I-III",10828,16,https://www.gutenberg.org/ebooks/10828.txt.utf-8,667243
"The History of Rome, Books 09 to 26",10907,16,https://www.gutenberg.org/ebooks/10907.txt.utf-8,1305920
"The Orations of Marcus Tullius Cicero, Volume 4",11080,-43,https://www.gutenberg.org/ebooks/11080.txt.utf-8,1284333
"Theocritus, translated into English Verse",11533,-260,https://www.gutenberg.org/ebooks/11533.txt.utf-8,198842
Agesilaus,1169,-355,https://www.gutenberg.org/ebooks/1169.txt.utf-8,102023
Anabasis,1170,-355,https://www.gutenberg.org/ebooks/1170.txt.utf-8,558622
The Apology,1171,-355,https://www.gutenberg.org/ebooks/1171.txt.utf-8,48059
The Cavalry General,1172,-355,https://www.gutenberg.org/ebooks/1172.txt.utf-8,100084
The Economist,1173,-355,https://www.gutenberg.org/ebooks/1173.txt.utf-8,235867
Hellenica,1174,-355,https://www.gutenberg.org/ebooks/1174.txt.utf-8,759596
Hiero,1175,-355,https://www.gutenberg.org/ebooks/1175.txt.utf-8,110511
On Horsemanship,1176,-355,https://www.gutenberg.org/ebooks/1176.txt.utf-8,98609
The Memorabilia,1177,-355,https://www.gutenberg.org/ebooks/1177.txt.utf-8,420971
The Polity of the Athenians and the Lacedaemonians,1178,-355,https://www.gutenberg.org/ebooks/1178.txt.utf-8,136190
On Revenues,1179,-355,https://www.gutenberg.org/ebooks/1179.txt.utf-8,75865
"The Sportsman: On Hunting, a Sportsman's Manual, Commonly Called Cynegeticus",1180,-355,https://www.gutenberg.org/ebooks/1180.txt.utf-8,155822
The Symposium,1181,-355,https://www.gutenberg.org/ebooks/1181.txt.utf-8,152263
Roman Farm Management: The Treatises of Cato and Varro,12140,-149,https://www.gutenberg.org/ebooks/12140.txt.utf-8,564239
The Prince,1232,1527,https://www.gutenberg.org/ebooks/1232.txt.utf-8,308064
